company,company_plot_number,company_stand_number,plot_program,establishment_year,establishment_month,establishment_day,fmu,fma,ats_township,ats_range,ats_meridian,ats_section,opening_number,sampling_unit_number,topographic_position,elevation,slope,aspect,x_coord,y_coord,utm_zone,datum,latitude,longitude,natural_subregion,ecosite_guide,ecosite,ecosite_phase,plot_comment,shared
GOA,58.4,58,MPB,1961,8,8,G16,FMA6900016,65,7,6,21,NA,.,2,1058,3,N,371299.27431,6056717.68728,UTM11,NAD83,54.641424,-118.994326,UF,WC,f,f3,NA,2
GOA,584.1,584,MPB,1990,8,2,W13,FMA9700034,59,15,5,21,NA,.,7,960,6,N,553221.65653,5997514.88647,UTM11,NAD83,54.123014,-116.185658,LF,WC,f,f1,NA,2
GOA,584.1,584,MPB,1990,8,2,W13,FMA9700034,59,15,5,21,NA,.,7,960,6,N,553221.65653,5997514.88647,UTM11,NAD83,54.123014,-116.185658,LF,WC,f,f1,NA,2
GOA,6007.1,6007,PGYI,1989,7,18,C5,NA,5,3,5,12,5030050020,.,NA,1474,0,N,696657.04302,5472307.06498,UTM11,NAD83,49.371701,-114.29095,MT,SW,d,d2,NA,2
GOA,6007.1,6007,PGYI,1989,7,18,C5,NA,5,3,5,12,5030050020,.,NA,1474,0,N,696657.04302,5472307.06498,UTM11,NAD83,49.371701,-114.29095,MT,SW,d,d2,NA,2
GOA,601.1,601,PGYI,1990,12,5,E13,NA,52,2,6,10,NA,.,6,1526,55,E,419767.98937,5926039.22456,UTM11,NAD83,53.477216,-118.208921,SA,WC,b,b1,NA,2
GOA,601.1,601,PGYI,1990,12,5,E13,NA,52,2,6,10,NA,.,6,1526,55,E,419767.98937,5926039.22456,UTM11,NAD83,53.477216,-118.208921,SA,WC,b,b1,NA,2
GOA,604.1,604,PGYI,1990,11,25,R13,FMA9700032,47,17,5,10,NA,.,4,1208,2,N,539378.58601,5876184.301,UTM11,NAD83,53.033733,-116.412766,UF,WC,j,j1,NA,2
GOA,604.1,604,PGYI,1990,11,25,R13,FMA9700032,47,17,5,10,NA,.,4,1208,2,N,539378.58601,5876184.301,UTM11,NAD83,53.033733,-116.412766,UF,WC,j,j1,NA,2
GOA,616.1,616,PGYI,1990,10,24,R13,FMA9700032,46,19,5,16,NA,.,2,1367,0,NA,520102.74203,5867923.15101,UTM11,NAD83,52.960543,-116.700725,UF,WC,d,d1,NA,2
GOA,616.1,616,PGYI,1990,10,24,R13,FMA9700032,46,19,5,16,NA,.,2,1367,0,NA,520102.74203,5867923.15101,UTM11,NAD83,52.960543,-116.700725,UF,WC,d,d1,NA,2
GOA,619.1,619,PGYI,1990,11,16,E2,FMA0900046,53,20,5,12,NA,.,2,969,1,SW,512888.63605,5934731.17197,UTM11,NAD83,53.561301,-116.805416,LF,WC,e,e3,NA,2
GOA,619.1,619,PGYI,1990,11,16,E2,FMA0900046,53,20,5,12,NA,.,2,969,1,SW,512888.63605,5934731.17197,UTM11,NAD83,53.561301,-116.805416,LF,WC,e,e3,NA,2
GOA,70.2,70,MPB,1961,8,12,G16,FMA6900016,66,7,6,27,NA,.,6,918,5,NW,373200.72297,6067596.96699,UTM11,NAD83,54.739619,-118.969609,LF,WC,e,e1,NA,2
GOA,70.2,70,MPB,1961,8,12,G16,FMA6900016,66,7,6,27,NA,.,6,918,5,NW,373200.72297,6067596.96699,UTM11,NAD83,54.739619,-118.969609,LF,WC,e,e1,NA,2
GOA,76.1,76,MPB,1961,8,29,G16,FMA6900016,63,7,6,21,NA,.,2,1104,2,NE,370712.80552,6037870.41145,UTM11,NAD83,54.471995,-118.995125,UF,WC,d,d1,NA,2
GOA,76.1,76,MPB,1961,8,29,G16,FMA6900016,63,7,6,21,NA,.,2,1104,2,NE,370712.80552,6037870.41145,UTM11,NAD83,54.471995,-118.995125,UF,WC,d,d1,NA,2
